term,subclasses
rehabili_tation,inpatient_rehabilitation
rehabili_tation,vocational_rehabilitation
rehabili_tation,post_acute_rehabilitation
rehabili_tation,occupational_therapy
gait_kinematics,gait_symmetry
gait_kinematics,gait_asymmetry
gait_kinematics,gait_disturbances
gait_kinematics,hemi_paretic_gait
gait_kinematics,walking_speed
gait_kinematics,hemiplegic_gait
gait_kinematics,dual_task_walking
gait_kinematics,gait_kinematics
post_stroke_unifilateral_spatial_neglect,post_stroke_unifilateral_spatial_neglect
post_stroke_unifilateral_spatial_neglect,months_post_stroke
post_stroke_unifilateral_spatial_neglect,post_stroke_hemi_paresis
acquired_brain_injuries,acquired_brain_injury
acquired_brain_injuries,head_injury
acquired_brain_injuries,traumatic_brain_injuries
acquired_brain_injuries,traumatic_brain_injury
acquired_brain_injuries,traumatic_head_injury
acquired_brain_injuries,brain_injuries
daily_life_taxonomy,adl
daily_life_taxonomy,daily_living_adls
daily_life_taxonomy,daily_living_index
daily_life_taxonomy,daily_living_taxonomy
daily_life_taxonomy,daily_life_taxonomy
daily_life_taxonomy,daily_living_iadls
daily_life_taxonomy,daily_living_adl
daily_life_taxonomy,daily_livings
imagination,mental_rehearsal
imagination,visual_imagery
imagination,kinesthetic_motor_imagery
imagination,imagery
imagination,mental_imagery
imagination,implicit_motor_imagery
imagination,action_observation
imagination,imagination
lower_limb,paretic_upper_limb
lower_limb,hemi_paretic_upper_limb
lower_limb,upper_limb_hemi_paresis
lower_limb,upper_extremity_motor_function
lower_limb,upper_extremity
lower_limb,upper_limb_function
lower_limb,lower_limb
lower_limb,hemiplegic_upper_extremity
neuro_developmental_treatment,task_oriented_training
neuro_developmental_treatment,conventional_physio_therapy
neuro_developmental_treatment,conventional_physical_therapy
hemi_paretic_upper_extremity,hemi_paretic_upper_limb
hemi_paretic_upper_extremity,upper_extremities
hemi_paretic_upper_extremity,hemiplegic_upper_extremity
hemi_paretic_upper_extremity,hemi_paretic_upper_extremity
hemi_paretic_upper_extremity,upper_extremity_hemi_paresis
hemi_paretic_upper_extremity,affected_upper_extremity
hemi_paretic_upper_extremity,hemiplegic_arm
spinal_cord,spinal_cord_injuries
spinal_cord,traumatic_spinal_cord_injury
spinal_cord,lower_limb_amputation
spinal_cord,spinal_cord
spinal_cord,incomplete_spinal_cord_injury
spinal_cord,non_traumatic_spinal_cord_injury
spinal_cord,chronic_spinal_cord_injury
sound_disorders,spastic_diplegia
sound_disorders,sound_disorders
sound_disorders,developmental_coordination_disorder
sound_disorders,hemiplegic_cerebral_palsy
sound_disorders,spastic_cerebral_palsy
neuro_rehabilitation_10_1177,permission_journals_permissions_nav_clinical_research_arti
neuro_rehabilitation_10_1177,et_alneuro_rehabilitation
neuro_rehabilitation_10_1177,phase_ii_randomized_controlled_trial_neuro_rehabilitation
neuro_rehabilitation_10_1177,neuro_rehabilitation_10_1177
neuro_rehabilitation_10_1177,permission_journals_permissions_nav_doi_10_1177
chronic_stroke_pilot_study,chronic_hemi_paretic_stroke_stroke_31_2390_2395
chronic_stroke_pilot_study,rhythmic_auditory_cueing_improves_motor_function
chronic_stroke_pilot_study,luft_ar_mccombe_waller_s_whitall_j_et_al_repetitive_bilate
chronic_stroke_pilot_study,partial_body_weight_support_versus_floor_walking
chronic_stroke_pilot_study,chronic_hemi_paretic_stroke_stroke_2000_31_2390_2395
chronic_stroke_pilot_study,whitall_j_mccombe_waller_s_silver_kh_macko_r_f_repetitive_b
intellectual_disabilities,learning_disabilities
intellectual_disabilities,developmental_disability
intellectual_disabilities,serious_mental_illness
intellectual_disabilities,intellectual_disabilities
intellectual_disabilities,intellectual_disability
intellectual_disabilities,mental_illness
intellectual_disabilities,physical_disabilities
intellectual_disabilities,persistent_mental_illness
intellectual_disabilities,severe_mental_illness
